time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),sunrise (iso8601),sunset (iso8601),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
2022-01-01,1.5,-10.0,-3.7,2022-01-01T09:20,2022-01-01T16:43,0.008,0.000,0.055,2.27,0.004
2022-01-02,6.7,-5.2,2.2,2022-01-02T09:20,2022-01-02T16:45,0.059,0.000,0.413,1.47,0.005
2022-01-03,6.2,-13.9,-4.2,2022-01-03T09:20,2022-01-03T16:46,0.020,0.000,0.138,2.59,0.003
2022-01-04,19.2,8.1,13.5,2022-01-04T09:20,2022-01-04T16:47,0.079,0.000,0.551,1.35,0.005
2022-01-05,12.5,-1.4,6.8,2022-01-05T09:19,2022-01-05T16:48,0.000,0.000,0.000,3.08,0.005
2022-01-06,10.5,-9.5,-0.1,2022-01-06T09:19,2022-01-06T16:50,0.000,0.000,0.028,2.25,0.004
2022-01-07,14.0,3.2,9.7,2022-01-07T09:18,2022-01-07T16:51,0.039,0.000,0.276,2.30,0.005
2022-01-08,4.7,-13.0,-4.7,2022-01-08T09:18,2022-01-08T16:52,0.000,0.000,0.000,3.29,0.003
2022-01-09,-11.0,-30.1,-17.4,2022-01-09T09:17,2022-01-09T16:54,0.000,0.000,0.000,3.64,0.003
2022-01-10,6.9,-19.8,-8.3,2022-01-10T09:16,2022-01-10T16:55,0.024,0.000,0.165,2.51,0.004
2022-01-11,9.5,-5.7,3.8,2022-01-11T09:15,2022-01-11T16:57,0.004,0.000,0.028,2.71,0.006
2022-01-12,10.3,-9.0,0.2,2022-01-12T09:15,2022-01-12T16:59,0.008,0.000,0.055,2.29,0.006
2022-01-13,5.9,-10.8,-0.4,2022-01-13T09:14,2022-01-13T17:00,0.000,0.000,0.000,3.02,0.005
2022-01-14,-7.1,-24.7,-15.9,2022-01-14T09:13,2022-01-14T17:02,0.000,0.000,0.000,3.79,0.003
2022-01-15,-3.5,-23.6,-14.6,2022-01-15T09:12,2022-01-15T17:04,0.000,0.000,0.000,3.25,0.003
2022-01-16,-0.8,-19.7,-10.5,2022-01-16T09:11,2022-01-16T17:06,0.000,0.000,0.000,4.06,0.004
2022-01-17,11.9,-6.4,2.9,2022-01-17T09:10,2022-01-17T17:07,0.055,0.000,0.386,1.50,0.004
2022-01-18,9.4,-2.9,4.5,2022-01-18T09:08,2022-01-18T17:09,0.016,0.000,0.110,2.56,0.005
2022-01-19,16.4,8.9,11.9,2022-01-19T09:07,2022-01-19T17:11,0.114,0.000,0.799,2.07,0.005
2022-01-20,17.3,6.0,12.5,2022-01-20T09:06,2022-01-20T17:13,0.083,0.000,0.579,2.81,0.006
2022-01-21,9.7,-4.3,2.7,2022-01-21T09:05,2022-01-21T17:15,0.000,0.000,0.000,2.96,0.005
2022-01-22,1.1,-14.9,-8.0,2022-01-22T09:03,2022-01-22T17:16,0.000,0.000,0.000,4.05,0.005
2022-01-23,7.2,-6.6,-1.0,2022-01-23T09:02,2022-01-23T17:18,0.047,0.000,0.358,2.74,0.005
2022-01-24,3.4,-14.5,-4.9,2022-01-24T09:01,2022-01-24T17:20,0.000,0.000,0.000,3.97,0.005
2022-01-25,0.4,-14.1,-8.6,2022-01-25T08:59,2022-01-25T17:22,0.000,0.000,0.000,3.83,0.005
2022-01-26,-0.2,-19.7,-10.2,2022-01-26T08:58,2022-01-26T17:24,0.000,0.000,0.000,4.95,0.005
2022-01-27,2.1,-20.2,-9.9,2022-01-27T08:56,2022-01-27T17:26,0.000,0.000,0.000,5.29,0.006
2022-01-28,1.6,-13.7,-5.9,2022-01-28T08:55,2022-01-28T17:28,0.000,0.000,0.000,3.97,0.005
2022-01-29,2.3,-10.9,-4.5,2022-01-29T08:53,2022-01-29T17:30,0.000,0.000,0.000,4.22,0.006
2022-01-30,2.8,-13.3,-5.6,2022-01-30T08:51,2022-01-30T17:32,0.000,0.000,0.000,4.97,0.006
2022-01-31,4.0,-16.9,-6.7,2022-01-31T08:49,2022-01-31T17:34,0.016,0.004,0.110,4.78,0.007
2022-02-01,0.2,-24.7,-10.9,2022-02-01T08:48,2022-02-01T17:36,0.000,0.000,0.000,4.80,0.006
2022-02-02,0.6,-19.5,-10.0,2022-02-02T08:46,2022-02-02T17:38,0.000,0.000,0.000,4.54,0.006
2022-02-03,4.2,-17.3,-7.2,2022-02-03T08:44,2022-02-03T17:40,0.000,0.000,0.000,6.21,0.008
2022-02-04,7.3,-10.0,-2.7,2022-02-04T08:42,2022-02-04T17:42,0.008,0.000,0.055,6.08,0.009
2022-02-05,14.8,0.3,7.5,2022-02-05T08:40,2022-02-05T17:45,0.059,0.000,0.413,4.20,0.009
2022-02-06,19.9,12.5,16.6,2022-02-06T08:38,2022-02-06T17:47,0.094,0.004,0.634,2.82,0.011
2022-02-07,22.3,12.0,17.2,2022-02-07T08:36,2022-02-07T17:49,0.012,0.000,0.110,4.70,0.014
2022-02-08,10.7,1.4,7.4,2022-02-08T08:34,2022-02-08T17:51,0.000,0.000,0.000,4.51,0.010
2022-02-09,2.8,-7.4,-2.0,2022-02-09T08:32,2022-02-09T17:53,0.000,0.000,0.000,6.46,0.009
2022-02-10,-7.6,-24.0,-13.4,2022-02-10T08:30,2022-02-10T17:55,0.000,0.000,0.000,7.32,0.007
2022-02-11,-9.1,-30.5,-21.3,2022-02-11T08:28,2022-02-11T17:57,0.000,0.000,0.000,7.73,0.006
2022-02-12,-8.2,-28.2,-18.9,2022-02-12T08:26,2022-02-12T17:59,0.000,0.000,0.000,8.05,0.007
2022-02-13,-5.3,-37.3,-20.0,2022-02-13T08:24,2022-02-13T18:01,0.000,0.000,0.000,8.31,0.007
2022-02-14,-0.1,-27.5,-15.2,2022-02-14T08:22,2022-02-14T18:03,0.000,0.000,0.000,8.48,0.010
2022-02-15,0.5,-27.8,-13.6,2022-02-15T08:20,2022-02-15T18:05,0.000,0.000,0.000,8.79,0.010
2022-02-16,3.3,-27.0,-11.9,2022-02-16T08:18,2022-02-16T18:07,0.000,0.000,0.000,8.33,0.011
2022-02-17,3.1,-17.7,-6.9,2022-02-17T08:16,2022-02-17T18:09,0.000,0.000,0.000,9.11,0.012
2022-02-18,5.4,-23.8,-9.4,2022-02-18T08:14,2022-02-18T18:11,0.000,0.000,0.000,8.94,0.013
2022-02-19,11.5,-12.2,-1.3,2022-02-19T08:11,2022-02-19T18:13,0.016,0.000,0.110,5.68,0.011
2022-02-20,11.3,0.5,5.4,2022-02-20T08:09,2022-02-20T18:15,0.039,0.000,0.276,4.84,0.011
2022-02-21,17.5,-3.8,5.2,2022-02-21T08:07,2022-02-21T18:17,0.000,0.000,0.000,8.18,0.017
2022-02-22,18.8,-6.7,4.7,2022-02-22T08:04,2022-02-22T18:19,0.000,0.000,0.000,9.31,0.019
2022-02-23,24.3,-7.7,8.2,2022-02-23T08:02,2022-02-23T18:21,0.000,0.000,0.000,9.95,0.024
2022-02-24,23.7,7.1,16.2,2022-02-24T08:00,2022-02-24T18:24,0.039,0.000,0.276,4.80,0.018
2022-02-25,22.7,12.2,17.3,2022-02-25T07:57,2022-02-25T18:26,0.016,0.000,0.110,8.70,0.023
2022-02-26,23.6,12.1,19.2,2022-02-26T07:55,2022-02-26T18:28,0.039,0.000,0.276,5.19,0.018
2022-02-27,21.3,17.0,19.0,2022-02-27T07:53,2022-02-27T18:30,0.087,0.004,0.606,5.61,0.019
2022-02-28,26.0,13.5,20.0,2022-02-28T07:50,2022-02-28T18:32,0.063,0.000,0.441,5.85,0.025
2022-03-01,20.7,6.2,16.3,2022-03-01T07:48,2022-03-01T18:34,0.043,0.000,0.303,7.43,0.022
2022-03-02,28.8,-2.9,11.9,2022-03-02T07:46,2022-03-02T18:36,0.000,0.000,0.000,8.38,0.026
2022-03-03,19.4,0.9,13.2,2022-03-03T07:43,2022-03-03T18:38,0.043,0.000,0.331,8.48,0.022
2022-03-04,17.5,-1.0,7.2,2022-03-04T07:41,2022-03-04T18:40,0.043,0.000,0.303,8.22,0.020
2022-03-05,22.1,-8.1,6.9,2022-03-05T07:39,2022-03-05T18:42,0.020,0.000,0.138,7.44,0.019
2022-03-06,30.9,13.6,22.1,2022-03-06T07:36,2022-03-06T18:44,0.039,0.000,0.276,7.92,0.027
2022-03-07,38.3,23.7,30.6,2022-03-07T07:34,2022-03-07T18:45,0.008,0.000,0.055,11.05,0.043
2022-03-08,36.7,25.0,31.6,2022-03-08T07:31,2022-03-08T18:47,0.016,0.000,0.110,6.27,0.027
2022-03-09,31.1,7.6,24.4,2022-03-09T07:29,2022-03-09T18:49,0.280,0.000,1.984,11.16,0.035
2022-03-10,18.4,-3.7,9.1,2022-03-10T07:26,2022-03-10T18:51,0.004,0.000,0.028,12.28,0.028
2022-03-11,15.8,-6.0,7.5,2022-03-11T07:24,2022-03-11T18:53,0.000,0.000,0.000,11.02,0.025
2022-03-12,15.2,-5.3,5.5,2022-03-12T07:21,2022-03-12T18:55,0.000,0.000,0.000,10.93,0.025
2022-03-13,12.2,-7.1,3.1,2022-03-13T07:19,2022-03-13T18:57,0.000,0.000,0.000,14.63,0.027
2022-03-14,10.7,-15.0,-1.8,2022-03-14T07:16,2022-03-14T18:59,0.000,0.000,0.000,15.15,0.027
2022-03-15,6.8,-14.6,-3.0,2022-03-15T07:14,2022-03-15T19:01,0.000,0.000,0.000,15.03,0.022
2022-03-16,15.7,-16.7,-1.3,2022-03-16T07:11,2022-03-16T19:03,0.000,0.000,0.000,15.58,0.030
2022-03-17,19.0,-12.8,4.2,2022-03-17T07:09,2022-03-17T19:05,0.000,0.000,0.000,15.55,0.036
2022-03-18,18.8,-5.6,7.3,2022-03-18T07:06,2022-03-18T19:07,0.000,0.000,0.000,10.85,0.027
2022-03-19,17.5,-1.4,9.4,2022-03-19T07:04,2022-03-19T19:09,0.004,0.000,0.028,11.25,0.026
2022-03-20,19.9,7.1,13.4,2022-03-20T07:01,2022-03-20T19:11,0.012,0.000,0.083,9.56,0.025
2022-03-21,32.0,5.4,18.0,2022-03-21T06:59,2022-03-21T19:13,0.000,0.000,0.000,16.40,0.053
2022-03-22,31.0,2.5,17.4,2022-03-22T06:56,2022-03-22T19:15,0.008,0.000,0.055,14.90,0.049
2022-03-23,32.2,2.6,17.8,2022-03-23T06:54,2022-03-23T19:17,0.000,0.000,0.000,16.56,0.053
2022-03-24,28.7,11.3,21.4,2022-03-24T06:51,2022-03-24T19:18,0.028,0.000,0.193,13.74,0.043
2022-03-25,30.6,3.7,16.8,2022-03-25T06:49,2022-03-25T19:20,0.012,0.000,0.083,14.91,0.049
2022-03-26,29.0,10.7,19.5,2022-03-26T06:46,2022-03-26T19:22,0.008,0.000,0.055,15.07,0.049
2022-03-27,26.7,11.3,19.3,2022-03-27T06:44,2022-03-27T19:24,0.024,0.000,0.165,15.11,0.046
2022-03-28,20.1,6.0,12.4,2022-03-28T06:41,2022-03-28T19:26,0.000,0.000,0.000,12.50,0.031
2022-03-29,26.1,-4.8,12.8,2022-03-29T06:39,2022-03-29T19:28,0.000,0.000,0.000,18.39,0.054
2022-03-30,30.5,1.5,17.6,2022-03-30T06:36,2022-03-30T19:30,0.000,0.000,0.000,19.13,0.059
2022-03-31,36.9,1.8,21.2,2022-03-31T06:34,2022-03-31T19:32,0.000,0.000,0.000,17.50,0.063
2022-04-01,43.2,23.8,32.9,2022-04-01T06:31,2022-04-01T19:34,0.000,0.000,0.000,10.74,0.057
2022-04-02,48.2,26.0,37.5,2022-04-02T06:29,2022-04-02T19:36,0.000,0.000,0.000,18.03,0.096
2022-04-03,37.3,18.5,27.9,2022-04-03T06:26,2022-04-03T19:38,0.028,0.000,0.220,14.70,0.052
2022-04-04,26.5,5.1,17.8,2022-04-04T06:24,2022-04-04T19:40,0.020,0.000,0.138,17.15,0.051
2022-04-05,30.6,5.3,19.1,2022-04-05T06:21,2022-04-05T19:41,0.004,0.000,0.028,16.54,0.053
2022-04-06,44.1,23.0,35.1,2022-04-06T06:19,2022-04-06T19:43,0.083,0.000,0.579,10.11,0.050
2022-04-07,47.0,32.4,39.7,2022-04-07T06:16,2022-04-07T19:45,0.012,0.012,0.000,9.85,0.055
2022-04-08,42.2,22.6,33.0,2022-04-08T06:14,2022-04-08T19:47,0.000,0.000,0.000,20.84,0.088
2022-04-09,40.5,22.6,31.8,2022-04-09T06:11,2022-04-09T19:49,0.000,0.000,0.000,12.52,0.061
2022-04-10,35.8,23.6,29.6,2022-04-10T06:09,2022-04-10T19:51,0.181,0.000,1.268,8.01,0.036
2022-04-11,34.9,19.4,27.5,2022-04-11T06:06,2022-04-11T19:53,0.031,0.000,0.220,13.28,0.051
2022-04-12,32.0,14.3,22.7,2022-04-12T06:04,2022-04-12T19:55,0.039,0.000,0.276,12.72,0.046
2022-04-13,36.2,4.0,21.9,2022-04-13T06:02,2022-04-13T19:57,0.012,0.000,0.083,20.56,0.073
2022-04-14,39.3,8.5,26.4,2022-04-14T05:59,2022-04-14T19:59,0.000,0.000,0.000,19.70,0.080
2022-04-15,45.4,25.5,35.2,2022-04-15T05:57,2022-04-15T20:00,0.000,0.000,0.000,19.70,0.098
2022-04-16,49.0,23.1,36.7,2022-04-16T05:54,2022-04-16T20:02,0.000,0.000,0.000,21.60,0.108
2022-04-17,54.1,23.4,39.7,2022-04-17T05:52,2022-04-17T20:04,0.000,0.000,0.000,21.67,0.118
2022-04-18,58.1,33.2,44.8,2022-04-18T05:50,2022-04-18T20:06,0.000,0.000,0.000,16.63,0.106
2022-04-19,37.5,26.6,33.4,2022-04-19T05:47,2022-04-19T20:08,0.154,0.012,1.020,8.68,0.047
2022-04-20,36.8,20.0,29.4,2022-04-20T05:45,2022-04-20T20:10,0.043,0.000,0.303,16.26,0.072
2022-04-21,38.3,25.7,31.7,2022-04-21T05:43,2022-04-21T20:12,0.106,0.000,0.744,10.62,0.051
2022-04-22,45.5,22.2,33.8,2022-04-22T05:40,2022-04-22T20:14,0.000,0.000,0.000,16.30,0.081
2022-04-23,40.0,20.9,30.3,2022-04-23T05:38,2022-04-23T20:16,0.063,0.000,0.441,11.99,0.055
2022-04-24,38.5,18.4,28.0,2022-04-24T05:36,2022-04-24T20:18,0.000,0.000,0.000,22.58,0.097
2022-04-25,36.8,21.7,28.8,2022-04-25T05:34,2022-04-25T20:20,0.000,0.000,0.000,21.90,0.094
2022-04-26,40.7,19.6,31.2,2022-04-26T05:31,2022-04-26T20:22,0.000,0.000,0.000,17.30,0.081
2022-04-27,46.1,24.8,34.1,2022-04-27T05:29,2022-04-27T20:23,0.067,0.004,0.441,14.94,0.090
2022-04-28,44.6,23.9,33.9,2022-04-28T05:27,2022-04-28T20:25,0.016,0.000,0.110,21.48,0.103
2022-04-29,56.6,25.1,39.8,2022-04-29T05:25,2022-04-29T20:27,0.000,0.000,0.000,22.91,0.126
2022-04-30,62.6,35.6,48.8,2022-04-30T05:22,2022-04-30T20:29,0.114,0.110,0.028,17.82,0.121
2022-05-01,69.8,38.1,55.2,2022-05-01T05:20,2022-05-01T20:31,0.004,0.004,0.000,20.53,0.157
2022-05-02,64.6,38.4,51.8,2022-05-02T05:18,2022-05-02T20:33,0.000,0.000,0.000,22.51,0.145
2022-05-03,59.3,38.4,49.8,2022-05-03T05:16,2022-05-03T20:35,0.055,0.055,0.000,18.32,0.132
2022-05-04,45.8,29.2,38.5,2022-05-04T05:14,2022-05-04T20:36,0.016,0.008,0.055,17.94,0.098
2022-05-05,46.0,29.7,36.7,2022-05-05T05:12,2022-05-05T20:38,0.059,0.000,0.413,21.56,0.107
2022-05-06,54.7,26.4,41.0,2022-05-06T05:10,2022-05-06T20:40,0.000,0.000,0.000,24.46,0.151
2022-05-07,66.4,31.9,50.3,2022-05-07T05:08,2022-05-07T20:42,0.000,0.000,0.000,23.54,0.172
2022-05-08,48.2,34.0,41.2,2022-05-08T05:06,2022-05-08T20:44,0.114,0.098,0.110,7.19,0.053
2022-05-09,35.6,27.3,31.3,2022-05-09T05:04,2022-05-09T20:46,0.024,0.000,0.165,9.66,0.063
2022-05-10,38.5,26.9,33.1,2022-05-10T05:02,2022-05-10T20:47,0.004,0.000,0.028,14.09,0.077
2022-05-11,47.7,26.5,37.9,2022-05-11T05:01,2022-05-11T20:49,0.000,0.000,0.000,18.40,0.109
2022-05-12,58.1,31.1,45.8,2022-05-12T04:59,2022-05-12T20:51,0.020,0.020,0.000,24.83,0.158
2022-05-13,62.7,34.5,49.9,2022-05-13T04:57,2022-05-13T20:53,0.008,0.008,0.000,23.33,0.150
2022-05-14,68.2,35.0,53.4,2022-05-14T04:55,2022-05-14T20:55,0.000,0.000,0.000,23.84,0.168
2022-05-15,72.6,37.5,56.5,2022-05-15T04:53,2022-05-15T20:56,0.000,0.000,0.000,24.06,0.180
2022-05-16,68.9,42.7,55.8,2022-05-16T04:52,2022-05-16T20:58,0.098,0.098,0.000,19.79,0.148
2022-05-17,66.4,48.5,56.7,2022-05-17T04:50,2022-05-17T21:00,0.035,0.035,0.000,16.80,0.132
2022-05-18,72.5,42.5,58.7,2022-05-18T04:48,2022-05-18T21:02,0.043,0.043,0.000,22.54,0.160
2022-05-19,69.5,49.0,60.3,2022-05-19T04:47,2022-05-19T21:03,0.020,0.020,0.000,18.59,0.145
2022-05-20,77.8,45.8,63.0,2022-05-20T04:45,2022-05-20T21:05,0.000,0.000,0.000,25.58,0.191
2022-05-21,58.6,48.2,54.7,2022-05-21T04:44,2022-05-21T21:07,0.232,0.232,0.000,11.61,0.077
2022-05-22,56.0,44.4,49.3,2022-05-22T04:42,2022-05-22T21:08,0.079,0.079,0.000,8.67,0.057
2022-05-23,61.1,37.6,50.0,2022-05-23T04:41,2022-05-23T21:10,0.000,0.000,0.000,23.54,0.144
2022-05-24,69.1,40.7,55.5,2022-05-24T04:40,2022-05-24T21:11,0.000,0.000,0.000,24.60,0.166
2022-05-25,73.6,39.7,59.3,2022-05-25T04:38,2022-05-25T21:13,0.000,0.000,0.000,27.63,0.187
2022-05-26,68.1,45.3,56.2,2022-05-26T04:37,2022-05-26T21:14,0.008,0.008,0.000,24.54,0.182
2022-05-27,52.7,36.7,45.6,2022-05-27T04:36,2022-05-27T21:16,0.000,0.000,0.000,17.05,0.107
2022-05-28,51.4,33.2,43.6,2022-05-28T04:35,2022-05-28T21:17,0.016,0.016,0.000,22.09,0.130
2022-05-29,59.0,31.4,47.2,2022-05-29T04:33,2022-05-29T21:18,0.000,0.000,0.000,28.65,0.172
2022-05-30,64.6,34.8,52.2,2022-05-30T04:32,2022-05-30T21:20,0.000,0.000,0.000,26.15,0.170
2022-05-31,61.1,41.0,50.7,2022-05-31T04:31,2022-05-31T21:21,0.181,0.181,0.000,16.24,0.104
2022-06-01,64.6,42.4,53.6,2022-06-01T04:30,2022-06-01T21:22,0.000,0.000,0.000,24.99,0.156
2022-06-02,55.1,43.9,49.2,2022-06-02T04:29,2022-06-02T21:24,0.280,0.280,0.000,7.13,0.050
2022-06-03,51.4,37.4,45.5,2022-06-03T04:28,2022-06-03T21:25,0.118,0.118,0.000,9.81,0.053
2022-06-04,63.9,33.7,50.8,2022-06-04T04:28,2022-06-04T21:26,0.000,0.000,0.000,28.21,0.173
2022-06-05,72.6,39.7,57.1,2022-06-05T04:27,2022-06-05T21:27,0.000,0.000,0.000,28.12,0.194
2022-06-06,75.9,42.2,60.8,2022-06-06T04:26,2022-06-06T21:28,0.000,0.000,0.000,27.37,0.208
2022-06-07,54.4,34.9,44.1,2022-06-07T04:25,2022-06-07T21:29,0.295,0.295,0.000,5.40,0.033
2022-06-08,56.4,32.7,45.6,2022-06-08T04:25,2022-06-08T21:30,0.000,0.000,0.000,19.41,0.112
2022-06-09,56.2,34.4,47.6,2022-06-09T04:24,2022-06-09T21:31,0.004,0.004,0.000,14.14,0.092
2022-06-10,68.3,42.4,55.3,2022-06-10T04:24,2022-06-10T21:32,0.000,0.000,0.000,24.22,0.166
2022-06-11,72.3,46.8,60.4,2022-06-11T04:23,2022-06-11T21:33,0.000,0.000,0.000,28.76,0.202
2022-06-12,77.8,49.7,65.0,2022-06-12T04:23,2022-06-12T21:34,0.000,0.000,0.000,28.41,0.207
2022-06-13,70.7,54.3,61.1,2022-06-13T04:23,2022-06-13T21:34,0.102,0.102,0.000,12.05,0.088
2022-06-14,77.8,53.0,67.0,2022-06-14T04:22,2022-06-14T21:35,0.000,0.000,0.000,25.73,0.197
2022-06-15,80.6,54.4,69.3,2022-06-15T04:22,2022-06-15T21:36,0.000,0.000,0.000,24.62,0.190
2022-06-16,81.2,54.0,66.4,2022-06-16T04:22,2022-06-16T21:36,0.004,0.004,0.000,19.09,0.147
2022-06-17,76.1,57.6,66.2,2022-06-17T04:22,2022-06-17T21:37,0.256,0.256,0.000,17.85,0.136
